Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Micro DI).as(default)"
     1,     67,    67.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.42.html)"
     1,    114,   114.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, io_netty_versions_properties.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SSL).as(default)"
     1,     54,    54.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ImmediateEventExecutor_java.html)"
     1,     45,    45.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.10.html)"
     1,      0,     0.00, Query.as(843cdba0-f30d-45a3-bacb-887f098ae31e)
     1,      0,     0.00, Query.as(a516bf5d-a042-48fb-850d-e895932a98d9)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Vaadin).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Integration).as(default)"
     1,    173,   173.00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/liquibase/ext/mongodb/change$).as(default)"
     1,      0,     0.00, Query.as(7968e4f4-dec3-4a0e-a483-0bdb7cd1d71a)
     1,      0,     0.00, Query.as(36930476-ba01-469b-9880-5fe6c89cef20)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JayWire).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Common Annotations).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JFunk).as(default)"
     1,     62,    62.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, native_image_properties.81.html)"
     1,      0,     0.00, Query.as(3f288d33-328e-4cbb-bb77-c18486c46f2d)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Java EE Batch).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Polyforms DI).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JBoss Transactions).as(default)"
     1,    710,   710.00, org.jboss.windup.graph.GraphContextFactory.create(Path)
   125,      5,     0.04, getClassificationForFile
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Iroh).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Boot Actuator).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Boot Cache).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Cucumber).as(default)"
     1,     71,    71.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.62.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Swagger).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Hibernate Cfg).as(default)"
     2,      1,     0.50, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spark).as(default)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.HibernateConfigurationFileModel).as(default)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,ANTLR StringTemplate).as(default)"
     1,    273,   273.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.8.html)"
     1,     95,    95.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.39.html)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.reporting.model.ApplicationReportModel).as(default)
     1,    487,   487.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, swagger_ui_bundle_js_map.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JBoss Cache).as(default)"
     1,     92,    92.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, RejectedExecutionHandler_java.html)"
     1,      0,     0.00, Query.as(2f94919c-ba2d-4b80-9c8c-7a07c3f21251)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,HighFaces).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MyFaces).as(default)"
     1,     56,    56.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ParallelScheduler_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JSilver).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,HornetQ Client).as(default)"
     1,     78,    78.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DefaultCallAdapterFactory_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Water Template Engine).as(default)"
     1,      0,     0.00, Query.as(006679b8-af4b-4dd1-b18f-89c6796bf15b)
     1,     61,    61.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, TimedHandler_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Acegi Security).as(default)"
     1,    222,   222.00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/software/amazon/awssdk/services/sns$).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OmniFaces).as(default)"
     1,     50,    50.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ParallelFlux_java.html)"
     1,      0,     0.00, Query.as(cb645591-91c6-4bb3-9763-bb1785242cf9)
     1,    107,   107.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.67.html)"
     1,     95,    95.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ExecutorServiceWorker_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Transactions).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Portlet).as(default)"
     1,     90,    90.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SwaggerIndexPageTransformer_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Santuario).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Messaging Client).as(default)"
  1353,    882,     0.65, TechnologyTag.performParameterized
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SQLite Driver).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Mule).as(default)"
     1,     60,    60.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.29.html)"
     1,     63,    63.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.3.html)"
     1,    108,   108.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, swagger_ui_js_map.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OAUTH).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Jamon).as(default)"
     1,      0,     0.00, Query.as(3eb3e15e-6e5b-4a70-8610-96b6f949d5dc)
     1,     51,    51.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.19.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring MVC).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Test).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Peaberry).as(default)"
     1,     41,    41.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, LocalChannel_java.html)"
     1,     53,    53.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, GlobalTrafficShapingHandler_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,KLogger).as(default)"
     1,      0,     0.00, Query.as(98ced6cd-7ad4-45bb-9c00-d049a4921e17)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OPS4J Pax Logging Service).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Webmacro).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Mycontainer JTA).as(default)"
     1,     79,    79.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SingleWorkerScheduler_java.html)"
     1,    175,   175.00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/org/jboss/resteasy/annotations/providers/multipart$).as(default)"
     1,    107,   107.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ThreadExecutorMap_java.html)"
     1,    174,   174.00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/org/apache/kafka/streams$).as(default)"
     1,     41,    41.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, NamedRunnable_java.html)"
     1,      0,     0.00, Query.as(bb044346-70e4-4337-809a-aca8a11803c0)
     1,     58,    58.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.91.html)"
     1,      9,     9.00, Query.as(53ef7843-f326-4cb9-b9eb-8f647492cd9f)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,GlassFish JTA).as(default)"
 22696,  12406,     0.55, "FileService.createByFilePath(parentFile, filePath)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,ButterFaces).as(default)"
     1,      0,     0.00, Query.as(5a20008c-a356-4fa6-98a8-211339b826bf)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Cfg Engine).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Rythm Template Engine).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Javax Inject).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Sticky Configured).as(default)"
     1,    174,   174.00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/io/smallrye/config/source/yaml$).as(default)"
     1,   1116,  1116.00, "FreeMarkerIterationOperation.render(/reports/templates/techReport-boxes.ftl, techReport_kafka_clients_sb_sample.html)"
     1,     63,    63.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, RemoteAppenderClient_java.html)"
     1,     69,    69.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Mono_java.html)"
     1,     67,    67.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.75.html)"
     1,     56,    56.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CompatibleClient_java.html)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.RMIServiceModel).as(default)
     1,    126,   126.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.27.html)"
     1,      0,     0.00, Query.as(80aebc99-119b-4356-ab3a-c1594ca40085)
     1,     70,    70.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.2.html)"
     1,     51,    51.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.143.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Orion EJB XML).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(fileName,EQUALS,ibm-webservices-bnd.xmi).has(rootTagName,EQUALS,WSBinding).as(default)"
     1,     53,    53.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, LogbackServletContextListener_java.html)"
  1283,    110,     0.09, GraphService.findAllByProperty(ClassificationModel-classification)
   432,      0,     0.00, iterableHasContent
     1,      0,     0.00, Query.as(74e9a582-27ec-4b7d-8834-dfcc8148ee01)
     1,    352,   352.00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/org/springframework/web$).as(default)"
     1,      0,     0.00, Query.as(0ebabf80-8d61-485c-ab84-5d9d4a69bf48)
     1,      0,     0.00, Query.as(a1d6321c-cccb-4c82-ac1d-b95b979e2dc5)
     1,     89,    89.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.122.html)"
     1,     67,    67.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ViewStatusMessagesServletBase_java.html)"
   125,      9,     0.07, projectModelToOrganizations
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Stripes).as(default)"
     1,    119,   119.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.43.html)"
   549,    255,     0.46, GraphService.findAllByPropertyMatchingRegex(filePath)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,HTTP Client).as(default)"
     1,      0,     0.00, Query.as(801432ca-b79d-4df8-bec5-7d5cf670d25e)
     1,     70,    70.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MonoPublishOn_java.html)"
     1,     35,    35.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, FluxCancelOn_java.html)"
     1,     69,    69.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.77.html)"
     1,     79,    79.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Dispatcher_java.html)"
     1,    180,   180.00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/com/amazonaws/xray/interceptors$).as(default)"
     1,     54,    54.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.145.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Redis).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,BootsFaces).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Camel).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,jboss).has(fileName,EQUALS,jboss.xml).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,AKKA JTA).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SLF4J).as(default)"
     1,      0,     0.00, Query.as(59a1e9ed-d8cc-43f7-b877-9cfc4610fff7)
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JsFileModel).as(default)
     1,    276,   276.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.7.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,GWT).as(default)"
     1,      1,     1.00, Query.as(52dd06c2-64cc-4f67-a657-9f7d60c87c52)
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.HtmlFileModel).as(default)
     1,     71,    71.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SwaggerWelcome_java.html)"
     1,     92,    92.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.65.html)"
     1,     74,    74.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, FluxPeekFuseable_java.html)"
     2,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.SpringBeanModel).as(default)
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[ANNOTATION]).as(f7af9e90-9f1b-40e9-a3a1-7d38d8c3633b)"
     1,      0,     0.00, Query.as(222818fa-5985-4113-bc43-bf78e3b1d194)
     1,     77,    77.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DefaultThreadFactory_java.html)"
     1,     53,    53.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ExecutorScheduler_java.html)"
    33,     19,     0.58, getUniqueByName(qualifiedName)
     1,     63,    63.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SingleProducerSequencer_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Jasypt).as(default)"
   951,     38,     0.04, getTechnologyTagsForFile
     1,      0,     0.00, Query.as(dde239eb-f6df-4248-9394-d75282638f5f)
130926,    358,     0.00, FilePathComparator
     1,      0,     0.00, Query.as(ec327ac6-c634-4493-a80a-e5d6037154e6)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,EJB Timer).as(default)"
     2,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.EjbMessageDrivenModel).as(default)
     1,     67,    67.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.64.html)"
     1,      0,     0.00, Query.as(ced3bdf7-bd87-4c85-9952-87c58e943cc3)
     1,    239,   239.00, "Query.fromType(org.jboss.windup.rules.apps.java.model.JavaClassFileModel).gremlin().has(parseError,NOT_DEFINED,null).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,PicketLink).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Struts).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Macros).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Syringe).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,FreeMarker).as(default)"
     1,     62,    62.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, RemoteReceiverClient_java.html)"
     1,      0,     0.00, Query.as(218a46a8-659e-43b5-8b12-9aaf5150be26)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Log.io).as(default)"
     1,     97,    97.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.146.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,weblogic-ejb-jar).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Silk DI).as(default)"
     1,     50,    50.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.84.html)"
     1,      0,     0.00, Query.as(061cafe2-73f3-4ec5-9cd9-f3109579ecff)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,AngularFaces).as(default)"
     1,     61,    61.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, EventExecutor_java.html)"
     1,     38,    38.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.26.html)"
     1,     63,    63.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.37.html)"
     1,     62,    62.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Platform_java.html)"
     1,     88,    88.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.59.html)"
     1,     74,    74.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.102.html)"
     1,      0,     0.00, Query.as(4b14e19a-def4-4c22-a278-7bc67ef77d44)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Amazon SQS Client).as(default)"
     1,    221,   221.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Application_java.html)"
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPORT]).as(b9be5a93-6759-4948-9663-dbd22962c237)"
    18,    204,    11.33, XmlFile.evaluate
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Accumulo Client).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OW2 JTA).as(default)"
     1,      0,     0.00, Query.as(b0800c73-76b7-4d2f-9cd7-82b59766d768)
     1,     52,    52.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.1.html)"
     1,    716,   716.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.html)"
     1,  53586, 53586.00, AnalyzeJavaFilesRuleProvider.analyzeFile
     1,      0,     0.00, Query.as(1011d971-a0b2-416c-a358-00873e3aa5e7)
     1,      0,     0.00, Query.as(b4685128-2200-4b23-aa85-ac25f3ca5080)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,DVSL).as(default)"
     3,      3,     1.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(filePath,EQUALS,/home/abrugaro/PyCharmProjects/windup_cli_tests/fixtures/applications/kafka-clients-sb-sample.jar.report/archives/kafka-clients-sb-sample.jar/BOOT-INF/lib/springdoc-openapi-common-1.4.3.jar/pom.xml).as(pom-files-kafka-clients-sb-sample.jar/BOOT-INF/lib/springdoc-openapi-common-1.4.3.jar)"
     1,    173,   173.00, "Query.fromType(org.jboss.windup.graph.model.resource.FileModel).gremlin().has(isDirectory,EQUALS,true).has(filePath,REGEX,.*/software/amazon/awssdk/services/s3$).as(default)"
     1,     71,    71.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.97.html)"
     1,     87,    87.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MonoDelay_java.html)"
     1,     64,    64.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DiskLruCache_java.html)"
     1,     86,    86.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CompositeMeterRegistry_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Atomikos JTA).as(default)"
     1,     87,    87.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, PeriodicWorkerTask_java.html)"
     1,     57,    57.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,RocketMQ Client).as(default)"
     1,     69,    69.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.58.html)"
     1,     89,    89.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, NioSocketChannel_java.html)"
     1,    108,   108.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, GlobalEventExecutor_java.html)"
     1,     60,    60.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, EventLoopProcessor_java.html)"
     1,     53,    53.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.121.html)"
     1,      9,     9.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPLEMENTS_TYPE]).as(d5807a3d-f649-42ec-b91c-202e576a31cc)"
     1,      0,     0.00, Query.as(bbb6e11b-c779-4570-ad40-f346d187f4f6)
     1,     71,    71.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DefaultEventExecutor_java.html)"
     1,     61,    61.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Util_java.html)"
     1,     60,    60.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, InstantPeriodicWorkerTask_java.html)"
     1,     44,    44.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, FluxPeek_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache CXF).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Keyczar).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Grails).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,REST Assured).as(default)"
     1,     84,    84.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ImmediateExecutor_java.html)"
   375,   4516,    12.04, sortProjectTraversalsByPathAscending
     1,      2,     2.00, Query.fromType(org.jboss.windup.reporting.model.TechnologyUsageStatisticsModel).as(default)
     1,     55,    55.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, HttpServletRequestTagsProvider_java.html)"
     1,     65,    65.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ThreadPerTaskExecutor_java.html)"
     1,      0,     0.00, Query.as(d696caa1-9842-41c3-94a0-ff950b4081dd)
